,Datum,Song,Interpret
342,"04.12.2021,08.08 Uhr",Rockabye,Clean Bandit feat. Anne-Marie
343,"04.12.2021,08.18 Uhr",Listen to your heart,Roxette
344,"04.12.2021,08.24 Uhr",Lovefool,Twocolors
345,"04.12.2021,08.36 Uhr",Cold heart (PNAU Remix),Elton John & Dua Lipa
346,"04.12.2021,08.45 Uhr",Beggin,MadCon
347,"04.12.2021,08.53 Uhr",Friendships (Lost My Love),Pascal Letoublon feat. Leony
348,"04.12.2021,09.08 Uhr",Back to black,Amy Winehouse
349,"04.12.2021,09.16 Uhr",Colorado,Milky Chance
350,"04.12.2021,09.24 Uhr",You can never be ready,Sunrise Avenue
351,"04.12.2021,09.34 Uhr",Higher love,Kygo feat. Whitney Houston
352,"04.12.2021,09.45 Uhr",Tu m'appelles,Adel Tawil feat. Peachy
353,"04.12.2021,09.54 Uhr",Habit,Laurell
354,"04.12.2021,10.06 Uhr",Stupid Love,Lady Gaga
355,"04.12.2021,10.16 Uhr",Easy on me,Adele
356,"04.12.2021,08.06 Uhr",Stay,The Kid LAROI & Justin Bieber
357,"04.12.2021,08.14 Uhr",Shivers,Ed Sheeran
358,"04.12.2021,08.33 Uhr",Thunder,Imagine Dragons
359,"04.12.2021,08.41 Uhr",You get what you give,New Radicals
360,"04.12.2021,09.05 Uhr",If You Really Love Me (How Will I Know),David Guetta x MistaJam x John Newman
361,"04.12.2021,09.12 Uhr",HookmB / Paul McCartney / Hope of Deliverance,Paul McCartney
362,"04.12.2021,09.13 Uhr",Hope of deliverance,Paul McCartney
363,"04.12.2021,09.21 Uhr",Chandelier,Sia
364,"04.12.2021,09.38 Uhr",Kayleigh,Marillion
365,"04.12.2021,09.49 Uhr",Footprints,Tom Gregory
366,"04.12.2021,10.09 Uhr",If today was your last day,Nickelback
367,"04.12.2021,10.19 Uhr",Save tonight,Eagle-Eye Cherry
368,"04.12.2021,10.24 Uhr",Alright,Alle Farben feat. KIDDO
369,"04.12.2021,10.34 Uhr",Bad Habits,Ed Sheeran
370,"04.12.2021,10.44 Uhr","Rudolph, the red-nosed reindeer",Dean Martin
371,"04.12.2021,10.52 Uhr",Blurry eyes,Michael Patrick Kelly
372,"04.12.2021,10.38 Uhr",Counting stars,OneRepublic
373,"04.12.2021,10.46 Uhr",One more time,Robin Schulz & Felix Jaehn feat. Alida
374,"04.12.2021,11.09 Uhr",Get lucky,Daft Punk
375,"04.12.2021,11.21 Uhr",Where are you now,Lost Frequencies x Calum Scott
376,"04.12.2021,11.24 Uhr",Just like a pill,Pink
377,"04.12.2021,11.38 Uhr","Auf das, was da noch kommt",Lotte & Max Giesinger
378,"04.12.2021,11.51 Uhr",Wellerman,Nathan Evans
379,"04.12.2021,11.54 Uhr",Dopamine,Purple Disco Machine feat. Eyelar
380,"04.12.2021,12.08 Uhr",Nur ein Wort,Wir Sind Helden
381,"04.12.2021,12.17 Uhr",Iko iko,Justin Wellington feat. Small Jam
382,"04.12.2021,12.24 Uhr",Friendships (Lost My Love),Pascal Letoublon feat. Leony
383,"04.12.2021,12.37 Uhr",Back to the start,Michael Schulte
384,"04.12.2021,12.47 Uhr",La isla bonita,Madonna
385,"04.12.2021,12.54 Uhr",Dynamite,Taio Cruz
